CurrentTime,LowestPrice,LowestPriceTime,LPrice,UPrice
00:00:00.000,0,00:00:00.000,81200,81800
11:29:01.000,81500,11:28:20.000,81200,81800
11:29:03.000,81500,11:28:20.000,81200,81800
11:29:03.000,81500,11:28:18.000,81200,81800
11:29:03.000,81500,11:28:17.000,81200,81800
11:29:04.000,81500,11:28:17.000,81200,81800
11:29:06.000,81500,11:28:15.000,81200,81800
11:29:07.000,81500,11:28:14.000,81200,81800
11:29:08.000,81500,11:28:12.000,81200,81800
11:29:08.000,81500,11:28:09.000,81200,81800
11:29:10.000,81500,11:28:09.000,81200,81800
11:29:10.000,81500,11:28:06.000,81200,81800
11:29:11.000,81500,11:28:06.000,81200,81800
11:29:13.000,81500,11:27:57.000,81200,81800
11:29:14.000,81500,11:27:52.000,81200,81800
11:29:15.000,81500,11:27:48.000,81200,81800
11:29:16.000,81500,11:27:44.000,81200,81800
11:29:18.000,81500,11:27:36.000,81200,81800
11:29:19.000,81500,11:27:28.000,81200,81800
11:29:19.000,81500,11:27:28.000,81300,81900
11:29:20.000,81600,11:29:15.000,81300,81900
11:29:22.000,81600,11:28:47.000,81300,81900
11:29:22.000,81600,11:28:42.000,81300,81900
11:29:23.000,81600,11:28:42.000,81300,81900
11:29:24.000,81600,11:28:35.000,81300,81900
11:29:24.000,81600,11:28:35.000,81400,82000
11:29:25.000,81700,11:29:07.000,81400,82000
11:29:26.000,81700,11:28:54.000,81400,82000
11:29:28.000,81800,11:29:25.000,81500,82100
11:29:29.000,81800,11:29:23.000,81500,82100
11:29:29.000,81800,11:29:20.000,81500,82100
11:29:30.000,81800,11:29:20.000,81500,82100
11:29:31.000,81800,11:29:18.000,81500,82100
11:29:32.000,81800,11:29:17.000,81500,82100
11:29:33.000,81800,11:29:15.000,81500,82100
11:29:33.000,81800,11:29:14.000,81500,82100
11:29:34.000,81800,11:29:14.000,81500,82100
11:29:34.000,81800,11:29:10.000,81500,82100
11:29:36.000,81800,11:29:10.000,81500,82100
11:29:37.000,81800,11:29:09.000,81500,82100
11:29:38.000,81800,11:29:07.000,81500,82100
11:29:39.000,81800,11:29:05.000,81500,82100
11:29:40.000,81800,11:29:02.000,81500,82100
11:29:41.000,81800,11:28:58.000,81500,82100
11:29:42.000,81800,11:28:54.000,81500,82100
11:29:43.000,81800,11:28:48.000,81500,82100
11:29:43.000,81800,11:28:48.000,81600,82200
11:29:44.000,81900,11:29:33.000,81600,82200
11:29:45.000,81900,11:29:30.000,81600,82200
11:29:46.000,81900,11:29:22.000,81600,82200
11:29:46.000,81900,11:29:22.000,81700,82300
11:29:47.000,82000,11:29:37.000,81700,82300
11:29:48.000,82000,11:29:33.000,81700,82300
11:29:49.000,82000,11:29:27.000,81700,82300
11:29:49.000,82000,11:29:27.000,81800,82400
11:29:50.000,82100,11:29:47.000,81800,82400
11:29:51.000,82100,11:29:43.000,81800,82400
11:29:51.000,82100,11:29:37.000,81800,82400
11:29:52.000,82100,11:29:37.000,81800,82400
11:29:53.000,82100,11:29:30.000,81800,82400
11:29:54.000,82200,11:29:52.000,81900,82500
11:29:54.000,82200,11:29:51.000,81900,82500
11:29:55.000,82200,11:29:51.000,81900,82500
11:29:56.000,82200,11:29:51.000,81900,82500
11:29:57.000,82200,11:29:51.000,81900,82500
11:29:58.000,82200,11:29:50.000,81900,82500
11:29:59.000,82200,11:29:49.000,81900,82500
11:30:00.000,82200,11:29:46.000,81900,82500
