CurrentTime,LowestPrice,LowestPriceTime,LPrice,UPrice
11:29:42.000,84000,11:29:13.000,83700,84300
11:29:42.000,84000,11:29:13.000,83800,84400
11:29:43.000,84100,11:29:41.000,83800,84400
11:29:44.000,84100,11:29:39.000,83800,84400
11:29:45.000,84100,11:29:36.000,83800,84400
11:29:46.000,84100,11:29:35.000,83800,84400
11:29:47.000,84100,11:29:33.000,83800,84400
11:29:47.000,84100,11:29:29.000,83800,84400
11:29:49.000,84100,11:29:29.000,83800,84400
11:29:50.000,84100,11:29:27.000,83800,84400
11:29:51.000,84100,11:29:26.000,83800,84400
11:29:52.000,84100,11:29:23.000,83800,84400
11:29:52.000,84200,11:29:51.000,83900,84500
11:29:53.000,84200,11:29:51.000,83900,84500
11:29:53.000,84200,11:29:42.000,83900,84500
11:29:54.000,84200,11:29:42.000,83900,84500
11:29:55.000,84200,11:29:36.000,83900,84500
11:29:55.000,84200,11:29:36.000,84000,84600
11:29:56.000,84300,11:29:51.000,84000,84600
11:29:57.000,84300,11:29:47.000,84000,84600
11:29:58.000,84300,11:29:45.000,84000,84600
11:29:59.000,84300,11:29:37.000,84000,84600
11:29:59.000,84300,11:29:37.000,84100,84700
11:30:00.000,84400,11:29:54.000,84100,84700
